tarih,hisse,skor,durum,giris,stop,hedef,ufuk,sonuc_tarih,cikis,sonuc,tuttu
2026-07-02,SAHOL,94,GIRIS_AKTIF,97.4114,95.6286,100.7,10,,,,
2026-07-02,SASA,29,BEKLE,2.3429,2.2871,2.75,10,,,,
2026-07-02,SISE,55,GIRIS_AKTIF,44.495,43.39,46.72,10,,,,
2026-07-02,SKBNK,74,BEKLE,12.9226,12.2614,18.5071,10,,,,
2026-07-02,SMRTG,54,GIRIS_AKTIF,11.1748,10.8507,12.35,10,,,,
2026-07-02,SOKM,57,BEKLE,44.342,43.38,49.36,10,,,,
2026-07-02,TAVHL,84,BEKLE,273.0161,266.4464,290.0,10,,,,
2026-07-02,TCELL,66,KAR_ALMA,105.3864,103.2786,108.5,10,,,,
2026-07-02,THYAO,72,BEKLE,325.875,321.0,340.75,10,,,,
2026-07-02,TKFEN,36,BEKLE,137.95,133.4,155.0,10,,,,
2026-07-02,TOASO,46,BEKLE,298.1268,288.9107,320.75,10,,,,
2026-07-02,TTKOM,75,BEKLE,57.7457,56.4643,63.55,10,,,,
2026-07-02,TTRAK,42,GIRIS_AKTIF,445.4089,439.3036,453.5,10,,,,
2026-07-02,TUKAS,68,BEKLE,2.2048,2.1779,2.42,10,,,,
2026-07-02,TUPRS,61,BEKLE,235.1329,230.6572,250.25,10,,,,
2026-07-02,ULKER,29,BEKLE,95.1532,92.6321,117.0,10,,,,
2026-07-02,VAKBN,74,KAR_ALMA,32.4216,31.7214,33.88,10,,,,
2026-07-02,VESBE,20,RISK_FILTRE,6.2709,5.9636,6.46,10,,,,
2026-07-02,VESTL,24,BEKLE,24.4383,23.1457,25.5,10,,,,
2026-07-02,YKBNK,33,BEKLE,37.7037,36.7343,43.84,10,,,,
2026-07-02,ZOREN,42,BEKLE,2.574,2.47,2.96,10,,,,
2026-07-02,ALBRK,58,KAR_ALMA,8.1949,8.0436,8.28,10,,,,
2026-07-02,ANSGR,73,BEKLE,25.914,25.42,28.5,10,,,,
2026-07-02,ARDYZ,56,KAR_ALMA,55.2396,53.1179,59.55,10,,,,
2026-07-02,BFREN,64,GIRIS_AKTIF,135.3107,133.9643,140.2,10,,,,
2026-07-02,CANTE,29,BEKLE,1.276,1.25,1.5,10,,,,
2026-07-02,CWENE,71,KAR_ALMA,39.7157,38.4343,40.2,10,,,,
2026-07-02,DAPGM,51,BEKLE,9.0586,8.8479,10.71,10,,,,
2026-07-02,ENERY,33,ANORMAL,8.9262,8.5093,10.8114,10,,,,
2026-07-02,FENER,29,BEKLE,2.7711,2.7229,3.21,10,,,,
2026-07-02,GENIL,48,RISK_FILTRE,9.1625,8.805,9.36,10,,,,
2026-07-02,GLYHO,33,BEKLE,15.1556,14.6979,18.69,10,,,,
2026-07-02,KMPUR,31,BEKLE,15.8089,15.3371,19.38,10,,,,
2026-07-02,MPARK,34,KAR_ALMA,410.3946,400.0179,425.5,10,,,,
2026-07-02,PAPIL,59,GIRIS_AKTIF,15.0953,14.5957,16.15,10,,,,
2026-07-02,REEDR,58,BEKLE,6.2709,6.1186,7.75,10,,,,
2026-07-02,TABGD,31,BEKLE,216.5264,210.9643,265.5,10,,,,
2026-07-02,TSKB,43,BEKLE,11.8321,11.5629,12.29,10,,,,
2026-07-02,TUREX,36,BEKLE,7.0638,6.9607,8.14,10,,,,
2026-07-02,YEOTK,65,BEKLE,53.0661,49.0964,115.0,10,,,,
2026-07-02,YYLGD,36,BEKLE,10.8076,10.6879,11.53,10,,,,
2026-07-02,ZRGYO,67,BEKLE,17.5391,17.1964,21.98,10,,,,
